PartNo,PartName,User,Supplier,Date,SupplierQuote,Rec,SettledPrice
2592,should,Alan Arnold,Robinson-Davis,2022-08-29,370.96,229.01,275.66
9648,apply,Tracey Adkins,Sheppard-Hayes,2023-03-21,124.32,80.12,88.51
7513,old,Dustin Gibson,Arellano PLC,2023-05-13,267.65,179.22,202.76
1165,tough,Michael Wright,Steele-Brown,2023-08-26,274.11,183.01,208.41
6647,example,Bethany Moran,"Carter, Lloyd and Harris",2022-12-03,160.33,105.26,124.46
1747,Mrs,Morgan Novak,"Fisher, Moreno and Cruz",2023-01-16,146.07,99.84,105.21
6028,lose,Brandon Zavala,"Hall, Figueroa and Newman",2023-07-25,264.65,180.24,208.03
7473,population,Adam Hickman,"Davis, Hawkins and Smith",2023-03-25,489.91,315.1,344.12
8283,media,Ryan Oneill,Morris-Edwards,2022-09-25,144.4,92.43,108.37
1281,interest,Manuel Thompson,Ward-Jackson,2023-01-07,201.48,136.9,158.4
2590,begin,Daniel Morrow,"Reynolds, Harris and Franklin",2023-02-11,317.92,200.94,229.62
9511,us,Heather Mcdonald,Meyer-Bailey,2023-04-20,148.01,95.59,105.12
5174,soon,Brooke Hamilton,Gomez-Li,2023-08-19,72.17,48.06,51.49
6970,hand,Peter Williamson,"Blake, Mcfarland and Freeman",2023-01-20,159.28,102.98,113.4
9586,not,Lisa Wells MD,Wright PLC,2023-05-01,94.1,57.3,66.71
8010,growth,Ryan Berry,Bryant-Williams,2022-11-08,341.31,211.53,242.1
2785,newspaper,Morgan Taylor,Lynch and Sons,2023-05-26,472.92,299.55,360.16
2848,take,Joseph Cobb MD,"Thomas, Cunningham and Wolfe",2022-11-05,341.79,211.83,247.07
1944,analysis,Katrina Randolph,Clay Group,2022-12-31,363.54,233.84,279.82
1590,his,Mike Mullins,Dixon LLC,2023-02-03,61.28,40.23,44.73
6245,grow,Michael Aguirre,Horton-Rojas,2023-05-07,476.84,313.91,379.83
1741,entire,Darryl Morales,Anderson Group,2022-09-30,484.69,314.42,360.05
7957,staff,Jennifer George MD,"Gonzales, Walker and Nelson",2023-02-26,174.11,107.8,125.77
9969,project,Ronald Walker,Reynolds-Marshall,2022-10-01,117.43,79.23,90.21
5571,total,Richard Nielsen,Shelton Inc,2023-07-17,267.72,178.74,199.05
9389,child,Brandon Harding,"Bryan, Lucas and Adams",2023-04-01,163.61,108.97,120.84
7382,section,Richard Hunt,Greene-Rios,2022-11-13,336.83,228.8,266.54
6875,their,Diana Guzman,"Smith, Griffith and Mills",2023-02-12,239.7,165.19,168.04
7057,job,Angel Andrade,"Riley, Shaw and Warren",2023-07-30,498.26,304.98,360.32
1415,media,Richard Wilson,"Campbell, Anthony and Miller",2023-04-10,129.09,83.23,94.89
2770,religious,Kevin Martin,Wright-Pitts,2023-06-02,235.42,160.33,170.96
9095,vote,Ms. Barbara Hess,Harris-Miles,2023-02-18,99.58,62.62,71.79
6998,action,Roberto Ramos,"Hayes, Avery and Wallace",2023-02-06,473.18,329.53,363.34
7339,hope,Jason Mccoy,Martinez and Sons,2023-07-31,353.13,220.08,271.53
3625,important,Molly Fletcher,Lowery and Sons,2022-12-30,322.0,197.87,236.4
4642,pay,Leah Zamora,Barber Group,2022-11-03,81.24,48.89,61.41
1463,could,Sally Turner,"Henderson, Hunt and Stafford",2022-08-30,466.34,318.68,364.8
6069,miss,Alexa Johnson,Hendricks-Craig,2023-03-04,53.63,33.85,38.55
2434,professor,April Jackson,Rogers LLC,2023-06-14,398.66,263.24,282.36
9584,discussion,Randy Leonard DDS,Rangel-Parker,2022-12-30,52.47,32.07,36.93
8485,since,Whitney Quinn,Jackson-Baker,2023-08-01,394.74,245.43,283.62
3306,citizen,Rebecca Ramirez,"Robinson, Willis and Watkins",2022-09-29,312.75,207.28,236.47
4046,three,Ashley Leonard,"Wilson, Pierce and Bowman",2023-03-07,74.17,51.85,54.39
5723,glass,Donald Gonzalez,Proctor-Valenzuela,2022-12-30,441.54,308.62,311.78
3122,arm,Christopher Jennings,"Patton, Huerta and Li",2023-06-03,116.71,70.25,87.14
9276,society,Ms. Dominique Johnson,"Young, Meadows and Edwards",2023-01-04,217.42,139.59,152.24
8975,hair,Sarah Bradford,Reeves-Adams,2022-11-22,488.9,323.17,384.09
2328,charge,Ashley Sullivan,Logan-Moore,2022-10-05,186.48,114.28,135.82
8492,store,Rebecca Ramirez,"Smith, Villegas and Sawyer",2023-06-25,248.27,159.19,190.88
5202,next,Jessica Hurst,Scott Inc,2023-03-02,411.79,262.38,305.79
9946,kid,Jennifer Good,Conner Inc,2023-02-03,94.0,62.16,72.65
4684,activity,Edward Schaefer,Smith and Sons,2022-10-23,436.07,300.45,326.17
9533,building,Nicholas Howell,Montgomery-Johnson,2023-03-30,162.38,101.01,129.2
8582,happy,Juan House,Pollard Group,2022-09-22,104.0,71.27,81.95
3918,cold,Michelle Walker,Gamble-Welch,2023-01-09,227.92,137.94,162.16
4891,church,Deborah Barnes,Anderson-Clark,2023-08-21,86.83,52.64,65.18
4143,as,Jasmine Bowen,Payne-Taylor,2023-06-03,309.95,206.65,217.05
2007,plan,Jeffrey Mercer,"Mendez, Stone and Lambert",2023-05-20,139.03,88.55,102.55
3315,task,Jenna Bass,Martinez Group,2022-09-17,143.36,93.97,107.22
1911,court,Sandra Esparza,Sharp-Wilkinson,2022-09-17,433.37,288.93,306.28
5664,little,Shelby Perry,"Duffy, Kaufman and Andrade",2023-04-09,194.52,122.45,136.95
9832,someone,Haley Hawkins DDS,"Tate, Chandler and Taylor",2023-02-15,365.81,249.34,283.09
4981,cover,Michelle Rodriguez,Hernandez LLC,2023-02-03,226.08,141.9,174.54
1334,study,Priscilla Hogan,"Francis, Hernandez and Kim",2023-02-11,447.22,290.94,341.43
3791,mean,Brenda Miller,"Griffin, Rodriguez and Moody",2022-12-03,420.41,264.48,320.52
1407,population,Sarah Sanchez,Livingston-Vaughan,2023-05-13,441.29,268.46,327.7
5139,raise,Robert Ramos,"Rodriguez, Robinson and Oliver",2023-05-14,314.19,215.38,250.86
3566,strong,George Mullins,Smith LLC,2022-11-16,402.83,260.18,300.01
2934,anyone,Richard Mitchell,Duke Ltd,2022-12-01,462.13,286.18,336.02
5648,some,Scott Martinez,"Mason, Day and Carroll",2022-12-01,475.94,286.26,364.86
4679,local,Zachary Mata,Jefferson-Petersen,2023-08-22,284.51,174.42,224.55
3669,safe,Jessica Barnes,"Griffin, Harmon and Ponce",2023-07-02,469.23,289.18,330.86
8969,financial,Matthew Cunningham,Ross-Fisher,2022-09-19,480.38,317.69,345.79
9672,show,Mary Flores,Williams Ltd,2023-03-19,340.99,207.41,245.99
2935,skill,Kristin Stevenson,Thomas-Wyatt,2023-05-23,261.82,179.31,193.39
