PartNo,PartName,User,Supplier,Date,SupplierQuote,Rec,SettledPrice
4409,Hex Nut,Shelby Hoffman,Collins LLC,26-08-2022,467.1,316.09,358.49
2667,Hex Nut,Susan Miller,"Newton, Griffith and Fleming",27-08-2022,107.87,72.27,79.96
3271,Hex Nut,Carol Wilson,Conner LLC,27-08-2022,424.24,263.92,311.15
5207,Hex Nut,Michael Evans,Johnston-Brown,27-08-2022,58.89,35.79,43.83
5000,Hex Nut,Anthony Lambert,Smith-Baker,27-08-2022,283.76,188.22,213.37
4664,Hex Nut,Patrick Hendricks,Salazar-Grant,27-08-2022,356.91,235.72,258.03
8486,Hex Nut,Oscar Bishop,Patterson-Cole,27-08-2022,207.63,135.51,162.35
5379,Hex Nut,Sonya Jacobs,"Wagner, Clark and Williams",28-08-2022,386.42,257.08,281.64
1835,Hex Nut,Connor Harper,"Ellis, Adams and Parker",28-08-2022,83.34,56.43,63.41
5192,Hex Nut,Eric Allen,Davis LLC,28-08-2022,372.55,230.03,262.95
2592,Hex Nut,Alan Arnold,Robinson-Davis,29-08-2022,370.96,229.01,275.66
4823,Hex Nut,Joseph Young,"Parker, Riggs and Ball",29-08-2022,65.6,39.52,50.29
2488,Hex Nut,Stephanie Fields,Stewart-Hughes,29-08-2022,495.38,308.21,352.28
3524,Hex Nut,Kayla Thomas,Hernandez-Mitchell,29-08-2022,246.98,169.27,178.2
6408,Hex Nut,Carolyn Green,"Rice, Ali and Brock",29-08-2022,87.36,58.99,69.8
1463,Hex Nut,Sally Turner,"Henderson, Hunt and Stafford",30-08-2022,466.34,318.68,364.8
9055,Hex Nut,Audrey Garrison,"Willis, Powers and Wilson",30-08-2022,483.37,337.49,373.74
6790,Hex Nut,Bradley Carrillo,Phillips-Johnson,30-08-2022,441.29,265.78,330.96
6419,Hex Nut,Phillip Bond,Cook-Smith,30-08-2022,370.36,248.95,285.08
4556,Hex Nut,Jonathan Anderson,Collier PLC,31-08-2022,101.54,61.01,73.23
3929,Hex Nut,Sharon Sexton,House Group,31-08-2022,280.69,194.21,203.42
8817,Hex Nut,Matthew Flores,Lynch Ltd,01-09-2022,181.91,116.1,130.91
7585,Hex Nut,Caitlin Howard,"Moore, Smith and Reed",01-09-2022,394.66,246,281.2
3229,Hex Nut,Kathryn Townsend,Dillon Ltd,03-09-2022,459.75,283.97,366.46
5424,Hex Nut,Colin Juarez,Tyler Ltd,03-09-2022,342.71,211.06,243.82
2709,Hex Nut,Kelly Lee,Nolan-Welch,03-09-2022,52.29,35.62,40.7
9359,Hex Nut,Jordan Vaughan,Stevenson PLC,03-09-2022,56,39.18,43.5
6554,Hex Nut,Tyrone Cox,Rose-Moore,04-09-2022,177.17,123.9,135.82
5523,Hex Nut,Philip Webster,Mendez-Nunez,04-09-2022,466.85,319.9,367.92
1498,Hex Nut,Mr. Matthew West,"Johnson, Hernandez and Bell",04-09-2022,472.79,294.03,341.22
1064,Hex Nut,Matthew Wright,Guerrero-Espinoza,05-09-2022,185.12,123.47,141.94
7870,Hex Nut,Laura Spence,"Norris, Rocha and Reed",05-09-2022,54.7,33.19,39.07
2705,Hex Nut,Shane Sampson,"Williams, Estes and Lyons",06-09-2022,427.2,281.27,304.05
6079,Hex Nut,William Faulkner,Scott-Pineda,06-09-2022,317.68,215.53,246.68
2651,Hex Nut,Matthew Chavez,Johnson-Turner,06-09-2022,236.55,146.17,183.69
2624,Hex Nut,Abigail Cain,Anderson Ltd,06-09-2022,402.48,250.97,302
8652,Hex Nut,Brandon Logan,Castro-Collins,07-09-2022,80.28,51.51,56.31
3437,Hex Nut,Joshua Bernard,Smith-Lopez,07-09-2022,96.54,65.15,68.26
9884,Hex Nut,Angela Adams,Park-Nelson,07-09-2022,173.03,115.73,127.11
9647,Hex Nut,Doris West,"Trevino, Young and Jordan",08-09-2022,441.1,266.19,338.77
6952,Hex Nut,Kimberly Watson,Smith-Chen,08-09-2022,345.2,209.5,252.95
5751,Hex Nut,Sarah Rodriguez,Avila Group,09-09-2022,116.29,71.09,86.31
1388,Hex Nut,Jay Morton,Mack Group,09-09-2022,180.79,111.26,137.49
4236,Hex Nut,Cameron Price,"Vang, Morgan and Rivera",10-09-2022,82.14,50.73,61.11
6702,Hex Nut,Roger Fuller,Herman PLC,11-09-2022,209.12,134.86,160.22
3157,Hex Nut,Amanda Curry,Bryant-Crane,11-09-2022,87.32,56.44,69.17
2151,Hex Nut,Tracy Washington,Sutton Group,11-09-2022,372.51,226.52,267.06
3433,Hex Nut,Daniel Alexander,"Fisher, Ward and Montgomery",11-09-2022,336.22,220.44,255.26
9989,Hex Nut,Debra Moreno DDS,May LLC,11-09-2022,484.23,318.89,372.44
2196,Hex Nut,Jonathan Schmidt,"Mejia, Moore and Adams",12-09-2022,160.83,102.38,124.08
1889,Hex Nut,Zachary Padilla,Nelson PLC,12-09-2022,88.38,56.2,66.51
2715,Hex Nut,Kyle Delgado,"Sims, Macdonald and Patton",13-09-2022,231.18,154.54,167.82
8264,Hex Nut,Jimmy Phillips,Moran-Stewart,13-09-2022,239.3,156.2,181.76
4916,Hex Nut,Scott Johns,"Johnson, Miller and Tucker",13-09-2022,211.35,142.11,159.95
2042,Hex Nut,Ryan Middleton,Navarro Ltd,13-09-2022,157.75,100.47,114.81
3259,Hex Nut,Christina Diaz,Johnson-Hall,13-09-2022,253.01,156.25,193.73
8352,Hex Nut,Alicia Burke,"Davidson, Mccarthy and Lee",14-09-2022,145.39,96.98,105.02
9361,Hex Nut,Wesley Garcia,"Mcdonald, Coleman and Austin",14-09-2022,249.72,157.62,189.4
2640,Hex Nut,Calvin Thompson,Hudson-Villa,15-09-2022,496.24,329.8,369.03
4693,Hex Nut,Larry Harris,Oneill Ltd,15-09-2022,276.09,167.93,210.55
5753,Hex Nut,Mary Mccullough,"Chandler, Henderson and Beck",15-09-2022,291.47,194.86,231.92
7237,Hex Nut,Laurie Blackburn,Foster-Lee,16-09-2022,284.76,195.21,206.39
3486,Hex Nut,Karen Bates,Armstrong and Sons,16-09-2022,318.95,219.69,244.31
1093,Hex Nut,Jasmine Miller,"Christian, Hooper and Griffin",16-09-2022,265.06,166.19,211.15
3315,Hex Nut,Jenna Bass,Martinez Group,17-09-2022,143.36,93.97,107.22
1911,Hex Nut,Sandra Esparza,Sharp-Wilkinson,17-09-2022,433.37,288.93,306.28
3968,Hex Nut,David Rowe,"Byrd, Long and Fernandez",17-09-2022,499.9,312.51,373.77
4774,Hex Nut,Paige Macias,Lucero Ltd,17-09-2022,248.57,152.09,194.73
5618,Hex Nut,Gregg Mccoy,Gray Inc,17-09-2022,99.01,60.66,70.51
1458,Hex Nut,Joseph Haas,Meza Inc,18-09-2022,473.78,327.41,350.34
6399,Hex Nut,Bethany Garcia,Perez-Hamilton,18-09-2022,396.9,270.79,302.05
8969,Hex Nut,Matthew Cunningham,Ross-Fisher,19-09-2022,480.38,317.69,345.79
2697,Hex Nut,Sandra Peterson,"Manning, Leonard and Mccormick",19-09-2022,73.41,47.65,57.99
8132,Hex Nut,Mrs. Veronica Murphy,"Morgan, Davenport and Anderson",19-09-2022,344.81,228.64,275.79
5819,Hex Nut,Troy Flores,Walker-Foley,19-09-2022,258.79,174.71,205.24
2419,Hex Nut,Travis Montgomery,Cantu Ltd,19-09-2022,147.24,92.86,106.76
8828,Hex Nut,Lauren Rivera,Young-Johnson,19-09-2022,214.07,145.04,153.71
1738,Hex Nut,Jose Fisher,Patrick-Waters,20-09-2022,85.94,59.73,62.45
4136,Hex Nut,Mr. Jim Ortiz,Thomas Inc,21-09-2022,214.47,147.53,157.99
8582,Hex Nut,Juan House,Pollard Group,22-09-2022,104,71.27,81.95
6866,Hex Nut,Cameron Lane,Anderson Group,22-09-2022,75.84,45.91,53.48
2415,Hex Nut,Brittany Lopez,"Owen, Gomez and Diaz",24-09-2022,168.19,117.21,118.93
8283,Hex Nut,Ryan Oneill,Morris-Edwards,25-09-2022,144.4,92.43,108.37
6745,Hex Nut,Jennifer Smith,"Mitchell, Mosley and Ramirez",25-09-2022,438.92,278.19,334.91
4947,Hex Nut,Desiree Richard,Mccann LLC,25-09-2022,493.72,300.01,385.25
2727,Hex Nut,Charles Simon,"Gonzalez, Wilson and Mejia",25-09-2022,122.18,76.44,88
6905,Hex Nut,Debra Garcia,Jenkins-Rocha,26-09-2022,320.09,212.86,245.97
5884,Hex Nut,Scott Garcia,Gonzalez-Villa,26-09-2022,284.03,196.87,200.99
8823,Hex Nut,William Martinez,Wiggins-Torres,26-09-2022,210.8,126.59,158.51
3912,Hex Nut,Jamie Clark,"Clements, Thomas and Snow",26-09-2022,169.62,103.95,134.37
4974,Hex Nut,Crystal Wilcox,Jordan-Johnson,27-09-2022,364.92,241.69,266.97
6971,Hex Nut,Michael Warren,"Lambert, Howard and Richards",27-09-2022,78.62,53.01,60.83
8216,Hex Nut,James Robinson,"Pineda, Murray and Ross",27-09-2022,279.69,168.11,203.15
4902,Hex Nut,Roberto Walker,Martinez-Doyle,27-09-2022,453.35,310.75,337.48
8345,Hex Nut,Elizabeth Vazquez,"Wu, Chavez and Cisneros",27-09-2022,142.69,89.11,110.85
3797,Hex Nut,Michael Perez,Moran-Herrera,27-09-2022,308.03,201.59,226.14
5082,Hex Nut,Edward Fisher,Fuller-Kennedy,28-09-2022,262.84,161.64,189.97
3306,Hex Nut,Rebecca Ramirez,"Robinson, Willis and Watkins",29-09-2022,312.75,207.28,236.47
9117,Hex Nut,Samuel Jefferson,Mcgrath-Davis,29-09-2022,112.07,67.56,86.08
1741,Hex Nut,Darryl Morales,Anderson Group,30-09-2022,484.69,314.42,360.05
2594,Hex Nut,Michelle Howard,"Zimmerman, Wood and Gray",30-09-2022,390.72,255.48,278.43
9409,Hex Nut,Erika Foster,"Robinson, Miller and Cole",30-09-2022,155.95,106.66,116.14
3326,Hex Nut,Matthew Armstrong,Franklin PLC,30-09-2022,339.43,221.48,269.73
7698,Hex Nut,Joshua James,"Kennedy, Garcia and Alexander",30-09-2022,95.12,62.09,67.57
9969,Hex Nut,Ronald Walker,Reynolds-Marshall,01-10-2022,117.43,79.23,90.21
3939,Hex Nut,Julie Banks,Ortiz-Fisher,01-10-2022,463.78,304.38,349.6
8991,Hex Nut,Mr. William Roth MD,Lewis-Hawkins,01-10-2022,213.29,137.27,168.05
4066,Hex Nut,Austin Wade,Adams-Mitchell,03-10-2022,134.21,84.83,99.62
9673,Hex Nut,John Johnson,Brady LLC,03-10-2022,162.32,106.24,127.94
2328,Hex Nut,Ashley Sullivan,Logan-Moore,05-10-2022,186.48,114.28,135.82
8055,Hex Nut,Mark Moore,Rivera-Nguyen,05-10-2022,387.12,254.16,306.57
9178,Hex Nut,Rachel Beard,Griffin PLC,05-10-2022,146.47,91,115.17
2177,Hex Nut,Shawn Gaines,Evans PLC,05-10-2022,397.2,246.82,313.09
3195,Hex Nut,Timothy Hayes,Johnson LLC,05-10-2022,97.15,66.43,70.73
3159,Hex Nut,Joshua Mendez,Carpenter Inc,06-10-2022,446.66,285.05,320.54
6096,Hex Nut,Rebecca Martin,Wright and Sons,06-10-2022,246.99,165.71,176.82
